"Variable","Coefficient","family"
"hs_no2_yr_hs_h_Log",-1.92953853119182,"Air Pollution"
"h_Benzene_Log",1.79866326030339,"Indoor air"
"hs_pcb180_cadj_Log2",-1.63253916853155,"Organochlorines"
"h_fdensity300_preg_Log",-1.52732408044595,"Built environment"
"hs_dif_hours_total_None",-1.51766706841171,"Lifestyle"
"hs_ndvi100_h_None",-1.49615150895064,"Natural Spaces"
"hs_sd_wk_None",1.27418006982788,"Lifestyle"
"hs_mecpp_cadj_Log2",1.16488159320617,"Phthalates"
"hs_accesslines300_s_dic0",1.1453010873265,"Built environment"
"hs_pm10_wk_hs_h_None",-1.05739819920467,"Air Pollution"
"hs_builtdens300_s_Sqrt",1.03423639497537,"Built environment"
"h_pm25_ratio_preg_None",-0.97345724151144,"Air Pollution"
"hs_KIDMED_None",-0.970980873639739,"Lifestyle"
"hs_mo_m_Log2",-0.954144207439784,"Metals"
"hs_hum_dy_hs_h_None",-0.775149393143008,"Meteorological"
"hs_pfna_m_Log2",-0.774338131985027,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_mehhp_madj_Log2",-0.769912238914869,"Phthalates"
"hs_pfos_c_Log2",-0.762371666940544,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_bupa_cadj_Log2",-0.729206880764186,"Phenols"
"hs_cu_m_Log2",-0.72828644287621,"Metals"
"hs_dmp_madj_Log2",0.719097238253706,"Organophosphate pesticides"
"hs_pb_c_Log2",0.69233043945992,"Metals"
"hs_dmtp_cadj_Log2",-0.682632313140684,"Organophosphate pesticides"
"hs_mvpa_prd_alt_None",-0.666808492832587,"Lifestyle"
"hs_mn_m_Log2",-0.65721549798783,"Metals"
"hs_mbzp_cadj_Log2",0.635591087676291,"Phthalates"
"hs_mep_cadj_Log2",0.6307883102088,"Phthalates"
"h_connind300_preg_Sqrt",-0.568362948182392,"Built environment"
"hs_hg_m_Log2",0.550034214309427,"Metals"
"hs_pb_m_Log2",-0.523236434841732,"Metals"
"h_PM_Log",0.484440520737979,"Indoor air"
"hs_tm_dy_hs_h_None",-0.481465640369961,"Meteorological"
"hs_pbde153_madj_Log2",0.480073886356433,"Polybrominated diphenyl ethers (PBDE)"
"h_TEX_Log",-0.474845436806488,"Indoor air"
"hs_cu_c_Log2",0.464724785035834,"Metals"
"hs_prpa_cadj_Log2",0.461227319210625,"Phenols"
"hs_pcb118_cadj_Log2",0.459768573633027,"Organochlorines"
"hs_etpa_madj_Log2",-0.361297219329716,"Phenols"
"hs_bpa_cadj_Log2",0.360264368416459,"Phenols"
"hs_dep_cadj_Log2",-0.344176090683628,"Organophosphate pesticides"
"hs_pm25abs_dy_hs_h_Log",-0.341352722288173,"Air Pollution"
"hs_mehp_madj_Log2",0.334726760457783,"Phthalates"
"hs_co_c_Log2",-0.323295152584107,"Metals"
"hs_hcb_cadj_Log2",0.321533809906185,"Organochlorines"
"hs_detp_cadj_Log2",-0.312227138170714,"Organophosphate pesticides"
"hs_mn_c_Log2",0.308245599547854,"Metals"
"h_landuseshan300_preg_None",0.278417644696226,"Built environment"
"hs_trcs_madj_Log2",-0.273774288551503,"Phenols"
"hs_cs_m_Log2",-0.270918412373046,"Metals"
"hs_landuseshan300_h_None",-0.23505491770614,"Built environment"
"hs_etpa_cadj_Log2",0.229067458204028,"Phenols"
"hs_pbde47_cadj_Log2",0.187925834536987,"Polybrominated diphenyl ethers (PBDE)"
"h_abs_ratio_preg_Log",-0.174185419466133,"Air Pollution"
"hs_mehp_cadj_Log2",0.173942239463644,"Phthalates"
"hs_trafnear_h_pow1over3",0.171309697768921,"Traffic"
"hs_accesslines300_h_dic0",0.161101061757739,"Built environment"
"hs_pbde47_madj_Log2",-0.15485411706156,"Polybrominated diphenyl ethers (PBDE)"
"hs_pm25_dy_hs_h_None",0.130779651320561,"Air Pollution"
"h_bro_preg_Log",-0.125323280134293,"Water DBPs"
"hs_mepa_madj_Log2",-0.08624649215799,"Phenols"
"h_frichness300_preg_None",-0.0756267232252433,"Built environment"
"hs_dde_madj_Log2",0.0737438765333885,"Organochlorines"
"hs_meohp_cadj_Log2",0.0696289851223135,"Phthalates"
"hs_pcb138_madj_Log2",-0.0188804725449366,"Organochlorines"
"hs_ddt_madj_Log2",-0.0112955933579324,"Organochlorines"
"hs_pfunda_m_Log2",0.00359898870983397,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_ndvi100_s_None",-0.00192489379983927,"Natural Spaces"
