"Variable","Coefficient","family"
"hs_no2_yr_hs_h_Log",-1.92953853119182,"Air Pollution"
"h_Benzene_Log",1.79866326030339,"Indoor air"
"hs_pcb180_cadj_Log2",-1.63253916853155,"Organochlorines"
"h_fdensity300_preg_Log",-1.52732408044595,"Built environment"
"hs_dif_hours_total_None",-1.51766706841171,"Lifestyle"
"hs_ndvi100_h_None",-1.49615150895064,"Natural Spaces"
"hs_sd_wk_None",1.27418006982788,"Lifestyle"
"hs_mecpp_cadj_Log2",1.16488159320617,"Phthalates"
"hs_accesslines300_s_dic0",1.1453010873265,"Built environment"
"hs_pm10_wk_hs_h_None",-1.05739819920467,"Air Pollution"
"hs_builtdens300_s_Sqrt",1.03423639497537,"Built environment"
"h_pm25_ratio_preg_None",-0.97345724151144,"Air Pollution"
"hs_KIDMED_None",-0.970980873639739,"Lifestyle"
"hs_mo_m_Log2",-0.954144207439784,"Metals"
"hs_hum_dy_hs_h_None",-0.775149393143008,"Meteorological"
"hs_pfna_m_Log2",-0.774338131985027,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_mehhp_madj_Log2",-0.769912238914869,"Phthalates"
"hs_pfos_c_Log2",-0.762371666940544,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_bupa_cadj_Log2",-0.729206880764186,"Phenols"
"hs_cu_m_Log2",-0.72828644287621,"Metals"
"hs_dmp_madj_Log2",0.719097238253706,"Organophosphate pesticides"
"hs_pb_c_Log2",0.69233043945992,"Metals"
"hs_dmtp_cadj_Log2",-0.682632313140684,"Organophosphate pesticides"
"hs_mvpa_prd_alt_None",-0.666808492832587,"Lifestyle"
"hs_mn_m_Log2",-0.65721549798783,"Metals"
"hs_mbzp_cadj_Log2",0.635591087676291,"Phthalates"
"hs_mep_cadj_Log2",0.6307883102088,"Phthalates"
"h_connind300_preg_Sqrt",-0.568362948182392,"Built environment"
"hs_hg_m_Log2",0.550034214309427,"Metals"
"hs_pb_m_Log2",-0.523236434841732,"Metals"
