"Exposome","p_value","family"
"h_abs_ratio_preg_Log",0.00800252040764033,"Air Pollution"
"h_pm10_ratio_preg_None",0.0430877353598086,"Air Pollution"
"h_pm25_ratio_preg_None",0.00125271732476295,"Air Pollution"
"hs_pm10_wk_hs_h_None",0.0115615760701299,"Air Pollution"
"hs_pm25_yr_hs_h_None",0.0268170570368558,"Air Pollution"
"hs_pm25abs_dy_hs_h_Log",0.0220238301819294,"Air Pollution"
"hs_pm25abs_yr_hs_h_Log",0.00506183432977342,"Air Pollution"
"h_fdensity300_preg_Log",0.0291145589822981,"Built environment"
"hs_builtdens300_s_Sqrt",0.0430218807273038,"Built environment"
"h_Benzene_Log",2.37769981458135e-05,"Indoor air"
"h_NO2_Log",0.0302836808896418,"Indoor air"
"h_PM_Log",0.000207690685498725,"Indoor air"
"hs_KIDMED_None",0.000122683839097953,"Lifestyle"
"hs_mvpa_prd_alt_None",0.0121315489046057,"Lifestyle"
"hs_pet_cat_r2_None",0.0319597682858992,"Lifestyle"
"hs_sd_wk_None",0.000136953815127268,"Lifestyle"
"hs_dif_hours_total_None",0.000219081147511727,"Lifestyle"
"hs_cs_m_Log2",0.048956396262591,"Metals"
"hs_cu_m_Log2",0.0233051035947529,"Metals"
"hs_hg_c_Log2",0.0472857965632157,"Metals"
"hs_mn_m_Log2",0.0189277239052373,"Metals"
"hs_mo_m_Log2",0.00499456924970123,"Metals"
"hs_pb_c_Log2",0.0145959955516673,"Metals"
"hs_tl_mdich_None",0.0187326477789727,"Metals"
"hs_hum_dy_hs_h_None",0.00531804175342413,"Meteorological"
"hs_ndvi100_h_None",0.0321633785696117,"Natural Spaces"
"hs_dde_cadj_Log2",0.00961528511995198,"Organochlorines"
"hs_pcb138_madj_Log2",0.00760059252876211,"Organochlorines"
"hs_pcb153_cadj_Log2",0.027754731807997,"Organochlorines"
"hs_pcb170_cadj_Log2",0.00119852328611553,"Organochlorines"
"hs_pcb180_cadj_Log2",1.08845516559389e-06,"Organochlorines"
"hs_sumPCBs5_cadj_Log2",0.0121600853556963,"Organochlorines"
"hs_dmtp_cadj_Log2",0.00513944795378765,"Organophosphate pesticides"
"hs_pfna_m_Log2",0.000228791446350498,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_pfoa_c_Log2",0.0435525650915927,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_pfoa_m_Log2",0.0168956563180067,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_pfos_c_Log2",0.000405043934274632,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_pfos_m_Log2",0.0222342485068245,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_mepa_madj_Log2",0.0325465411472405,"Phenols"
"hs_prpa_cadj_Log2",0.0347125447012134,"Phenols"
"hs_mecpp_cadj_Log2",8.47387498500606e-05,"Phthalates"
"hs_mehhp_cadj_Log2",0.00106244953891373,"Phthalates"
"hs_mehhp_madj_Log2",0.0235436602229224,"Phthalates"
"hs_mehp_cadj_Log2",0.0049986719843075,"Phthalates"
"hs_meohp_cadj_Log2",0.000199286505997943,"Phthalates"
"hs_mep_cadj_Log2",0.00200068900911727,"Phthalates"
"hs_mibp_cadj_Log2",0.027829959950569,"Phthalates"
"hs_mnbp_cadj_Log2",0.00529548366682709,"Phthalates"
"hs_sumDEHP_cadj_Log2",0.0131675338065636,"Phthalates"
"hs_cotinine_cdich_None",0.0168484997970188,"Tobacco Smoke"
"hs_smk_parents_None",0.00810501632506265,"Tobacco Smoke"
