"Exposome","p_value","family"
"h_abs_ratio_preg_Log",0.00376717276734432,"Air Pollution"
"h_pm25_ratio_preg_None",0.0099701838809041,"Air Pollution"
"hs_pm10_wk_hs_h_None",0.047501450758418,"Air Pollution"
"hs_pm10_yr_hs_h_None",0.0329594803094036,"Air Pollution"
"hs_pm25abs_yr_hs_h_Log",0.0250118263606794,"Air Pollution"
"h_fdensity300_preg_Log",0.0490752156666346,"Built environment"
"h_Benzene_Log",0.000868788884403034,"Indoor air"
"h_PM_Log",0.000552511979545501,"Indoor air"
"hs_break_cer_Ter",0.0316785933159004,"Lifestyle"
"hs_KIDMED_None",0.000668392601417183,"Lifestyle"
"hs_total_lipids_Ter",0.00325319645250166,"Lifestyle"
"hs_dif_hours_total_None",0.00036442362273092,"Lifestyle"
"hs_mn_m_Log2",0.00343226816872355,"Metals"
"hs_pb_c_Log2",0.00664639853300755,"Metals"
"hs_pb_m_Log2",0.0441922006741096,"Metals"
"hs_hum_dy_hs_h_None",0.000336115823955173,"Meteorological"
"hs_dde_cadj_Log2",0.0311068935979591,"Organochlorines"
"hs_pcb153_cadj_Log2",0.0241321452406829,"Organochlorines"
"hs_pcb170_cadj_Log2",0.000237899260910784,"Organochlorines"
"hs_pcb180_cadj_Log2",2.55194270265874e-06,"Organochlorines"
"hs_sumPCBs5_cadj_Log2",0.00835011490668283,"Organochlorines"
"hs_pfna_m_Log2",0.00151845787577438,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_pfoa_c_Log2",0.0320747581891519,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_pfos_c_Log2",0.00121702258957497,"Per- and polyfluoroalkyl substances (PFAS)"
"hs_etpa_madj_Log2",0.0188066507826044,"Phenols"
"hs_mepa_madj_Log2",0.0332317477115141,"Phenols"
"hs_prpa_cadj_Log2",0.0429286671603867,"Phenols"
"hs_trcs_madj_Log2",0.0374128255139227,"Phenols"
"hs_mecpp_cadj_Log2",0.00121721368046044,"Phthalates"
"hs_mehhp_cadj_Log2",0.0133569329546323,"Phthalates"
"hs_meohp_cadj_Log2",0.00405899808849672,"Phthalates"
"hs_mep_cadj_Log2",0.0449007289726989,"Phthalates"
"hs_mnbp_cadj_Log2",0.0445873588732248,"Phthalates"
"hs_cotinine_cdich_None",0.0296001127064924,"Tobacco Smoke"
"hs_smk_parents_None",0.00870189999495561,"Tobacco Smoke"
